psraid,cregion,q1,q2,q45,sex,recage,receduc,racethn2,party,partyln,weight,llweight,cellweight
102859,Northeast,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Independent,Republican,2.259259259,4.8,0
102863,Northeast,Approve,Very strongly,Approve,Female,65+,Coll+,"Hisp, born outside US",Democrat,NA,3.592592593,10.1,0
102869,South,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Republican,NA,5.777777778,12.8,0
102875,Northeast,Approve,Not so strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,2.740740741,7.8,0
102880,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.518518519,2.8,0
102882,South,Approve,Not so strongly,Approve,Female,55-64,HS grad or less,Black~Hisp,Democrat,NA,3.518518519,12.3,0
102905,Northeast,Approve,Very strongly,Approve,Male,55-64,Coll+,White~Hisp,Democrat,NA,1.148148148,1.4,0
102908,South,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,3.481481481,10.9,0
102911,Midwest,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1.888888889,3.1,0
102924,South,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Republican,NA,1.555555556,2.9,0
102927,Northeast,Disapprove,Very strongly,Disapprove,Female,18-24,Coll+,White~Hisp,Republican,NA,3.518518519,27.3,0
102934,West,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Republican,NA,2.555555556,6.7,0
102936,South,Approve,Not so strongly,Approve,Female,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.518518519,1.7,0
102942,West,Disapprove,Very strongly,Approve,Male,65+,Coll+,White~Hisp,Republican,NA,1.407407407,2.5,0
102960,Northeast,Approve,Very strongly,Approve,Female,25-34,HS grad or less,"Hisp, born outside US",Independent,Democrat,8.296296296,27.3,0
102963,South,Approve,Not so strongly,Disapprove,Female,35-44,Coll+,White~Hisp,Democrat,NA,2.481481481,5,0
102969,Northeast,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,3.259259259,4.5,0
102977,West,Disapprove,Not so strongly,Approve,Female,25-34,HS grad or less,"Hisp, born outside US",Independent,Democrat,8.296296296,27.3,0
102983,South,Approve,Not so strongly,Approve,Female,35-44,Coll+,Ref,Democrat,NA,2.740740741,5,0
102984,South,Approve,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),2.185185185,2.4,0
102998,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Democrat,NA,2.62962963,4,0
103002,South,Don't know/Refused (VOL.),NA,Disapprove,Female,25-34,Some coll/Assoc degree,White~Hisp,Independent,Democrat,2.148148148,7.9,0
103003,Northeast,Approve,Very strongly,Don't know/Refused (VOL.),Female,65+,HS grad or less,White~Hisp,Democrat,NA,3.925925926,5.6,0
103004,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Republican,NA,1.333333333,2.8,0
103005,Northeast,Approve,Very strongly,Don't know/Refused (VOL.),Male,35-44,HS grad or less,"Hisp, born outside US",Democrat,NA,4.407407407,9.3,0
103012,South,Disapprove,Not so strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Democrat,NA,3.296296296,10.9,0
103019,Northeast,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Independent,Republican,2.444444444,8,0
103028,Midwest,Approve,Not so strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),4.037037037,11.3,0
103029,South,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,1.518518519,6,0
103038,Midwest,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,2.62962963,3.3,0
103042,South,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Independent,Republican,3,9,0
103046,South,Disapprove,Not so strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Republican,3,8.5,0
103054,Midwest,Disapprove,Not so strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,5.925925926,27.3,0
103060,South,Disapprove,Not so strongly,Disapprove,Male,35-44,Some coll/Assoc degree,White~Hisp,Republican,NA,1.518518519,7,0
103061,West,Approve,Not so strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Independent,Democrat,2.888888889,4.2,0
103071,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Female,35-44,Coll+,White~Hisp,Democrat,NA,6.333333333,15.2,0
103074,West,Approve,Not so strongly,Approve,Female,35-44,Coll+,White~Hisp,Democrat,NA,2.259259259,3.3,0
103079,Midwest,Approve,Very strongly,Approve,Male,65+,Coll+,Other,Independent,Other/Don't know/Refused (VOL.),1.111111111,2.6,0
103082,Northeast,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Democrat,2.592592593,3.3,0
103087,Northeast,Disapprove,Very strongly,Disapprove,Female,55-64,HS grad or less,White~Hisp,Republican,NA,3.851851852,7.7,0
103088,West,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Republican,NA,1,1.9,0
103092,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Independent,Republican,1.333333333,3.1,0
103097,Northeast,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.962962963,2.4,0
103108,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Female,35-44,Some coll/Assoc degree,White~Hisp,Democrat,NA,2.222222222,2.5,0
103109,Midwest,Approve,Very strongly,Approve,Male,65+,Coll+,White~Hisp,Democrat,NA,1,2.4,0
103110,Northeast,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.851851852,2.8,0
103116,South,Disapprove,Very strongly,Disapprove,Female,25-34,Coll+,White~Hisp,Independent,Republican,5.925925926,27.3,0
103117,Northeast,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,3.666666667,7.2,0
103122,South,Disapprove,Don't know/Refused (VOL.),Approve,Female,25-34,HS grad or less,"Hisp, born outside US",No preference (VOL.),Democrat,5.777777778,7.9,0
103124,Northeast,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.111111111,1,0
103133,South,Disapprove,Not so strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,1.962962963,7.8,0
103138,Northeast,Disapprove,Very strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1,1,0
103147,South,Disapprove,Very strongly,Disapprove,Female,55-64,HS grad or less,White~Hisp,Republican,NA,3.296296296,7.2,0
103149,Northeast,Approve,Not so strongly,Approve,Female,65+,Coll+,White~Hisp,Republican,NA,1.851851852,2.8,0
103155,Midwest,Disapprove,Very strongly,Disapprove,Female,35-44,HS grad or less,White~Hisp,Independent,Republican,7.333333333,22.4,0
103161,South,Disapprove,Not so strongly,Approve,Female,35-44,HS grad or less,White~Hisp,Democrat,NA,5.814814815,22.9,0
103166,Midwest,Approve,Very strongly,Approve,Male,45-54,HS grad or less,White~Hisp,Democrat,NA,2.037037037,6.7,0
103167,Midwest,Disapprove,Very strongly,Disapprove,Female,35-44,Some coll/Assoc degree,White~Hisp,Republican,NA,3.111111111,5,0
103170,Northeast,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Democrat,NA,3.777777778,4.1,0
103193,South,Approve,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Democrat,NA,3.888888889,5.9,0
103195,South,Approve,Very strongly,Approve,Male,18-24,HS grad or less,"Hisp, born in US",Democrat,NA,4.888888889,27.3,0
103214,South,Disapprove,Not so strongly,Disapprove,Female,18-24,Some coll/Assoc degree,White~Hisp,Republican,NA,5.555555556,27.3,0
103216,Northeast,Approve,Not so strongly,Approve,Male,45-54,Coll+,White~Hisp,Independent,Democrat,2.740740741,8.3,0
103221,South,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Republican,NA,2.925925926,22.8,0
103223,South,Approve,Very strongly,Approve,Female,45-54,Coll+,"Hisp, born outside US",Independent,Democrat,1.851851852,9.7,0
103231,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1,1.4,0
103233,South,Disapprove,Not so strongly,Disapprove,Female,25-34,HS grad or less,"Hisp, born outside US",Democrat,NA,5.851851852,27.3,0
103237,South,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Independent,Republican,2.259259259,7.9,0
103239,Northeast,Don't know/Refused (VOL.),NA,Disapprove,Female,35-44,Coll+,White~Hisp,Independent,Republican,2.62962963,4.4,0
103250,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1,1.4,0
103252,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.777777778,3.4,0
103256,South,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),3.111111111,3.1,0
103257,Midwest,Disapprove,Not so strongly,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,1.962962963,4.5,0
103258,South,Approve,Very strongly,Approve,Female,55-64,Some coll/Assoc degree,Black~Hisp,Democrat,NA,4.444444444,8.4,0
103262,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1,1,0
103265,West,Approve,Not so strongly,Approve,Female,35-44,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),3.555555556,5,0
103268,South,Approve,Very strongly,Approve,Female,45-54,Some coll/Assoc degree,White~Hisp,Democrat,NA,2.222222222,3.1,0
103276,South,Don't know/Refused (VOL.),NA,Approve,Male,DK/Ref,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1,3.3,0
103287,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.222222222,5.2,0
103293,South,Disapprove,Not so strongly,Disapprove,Male,65+,HS grad or less,"Hisp, born in US",Democrat,NA,4.148148148,8.2,0
103294,South,Don't know/Refused (VOL.),NA,Approve,Female,55-64,Some coll/Assoc degree,"Hisp, born in US",Republican,NA,3.666666667,7.8,0
103295,West,Don't know/Refused (VOL.),NA,Approve,Female,55-64,Coll+,Other,Democrat,NA,1.259259259,2.4,0
103306,South,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,1.740740741,3.2,0
103318,Midwest,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Male,65+,Coll+,White~Hisp,Independent,Democrat,1,1.6,0
103329,Midwest,Disapprove,Not so strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,No preference (VOL.),Democrat,1.962962963,3.5,0
103331,South,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,"Hisp, born outside US",Independent,Republican,3.555555556,13.8,0
103335,South,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,White~Hisp,Republican,NA,2,7.5,0
103338,West,Disapprove,Very strongly,Disapprove,Male,45-54,Coll+,Ref,Republican,NA,2.037037037,3.2,0
103354,West,Don't know/Refused (VOL.),NA,Disapprove,Male,45-54,Coll+,White~Hisp,Democrat,NA,1.333333333,1.6,0
103356,South,Disapprove,Very strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Republican,NA,3.037037037,7.9,0
103359,Midwest,Disapprove,Very strongly,Disapprove,Female,25-34,HS grad or less,White~Hisp,Republican,NA,5.37037037,27.3,0
103368,Northeast,Disapprove,Very strongly,Disapprove,Female,35-44,HS grad or less,White~Hisp,Republican,NA,8.296296296,25.1,0
103369,Northeast,Disapprove,Not so strongly,Approve,Female,55-64,Some coll/Assoc degree,White~Hisp,Democrat,NA,2.666666667,3.1,0
103377,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.481481481,3.4,0
103391,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Republican,NA,3.148148148,9.5,0
103394,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2,4.7,0
103395,South,Disapprove,Very strongly,Disapprove,Male,25-34,Coll+,White~Hisp,Republican,NA,1.740740741,27.3,0
103403,Midwest,Disapprove,Very strongly,Disapprove,Female,55-64,HS grad or less,White~Hisp,Independent,Republican,6.407407407,22.3,0
103404,Midwest,Disapprove,Very strongly,Don't know/Refused (VOL.),Female,65+,HS grad or less,White~Hisp,Democrat,NA,2.222222222,2.4,0
103411,Midwest,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Independent,Democrat,1,1,0
103412,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,Ref,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),1,2.4,0
103419,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,1.962962963,8,0
103426,South,Disapprove,Not so strongly,Disapprove,Male,18-24,HS grad or less,Other,Democrat,NA,3.888888889,21,0
103435,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.185185185,1.6,0
103437,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,1.925925926,3.8,0
103446,South,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.296296296,1.4,0
103448,Midwest,Disapprove,Not so strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Independent,Republican,2.111111111,4.5,0
103454,Midwest,Don't know/Refused (VOL.),NA,Approve,Female,45-54,Some coll/Assoc degree,White~Hisp,Democrat,NA,3.703703704,11.3,0
103455,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,1.851851852,4.6,0
103459,Midwest,Approve,Not so strongly,Approve,Female,65+,Coll+,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.296296296,2.9,0
103461,South,Approve,Not so strongly,Approve,Female,55-64,Some coll/Assoc degree,Black~Hisp,Democrat,NA,1.851851852,4,0
103463,South,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,1.703703704,3.4,0
103467,Midwest,Approve,Very strongly,Approve,Female,55-64,HS grad or less,White~Hisp,Republican,NA,5.296296296,8.1,0
103468,South,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Republican,NA,1.222222222,3.1,0
103470,Midwest,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,1.296296296,2.4,0
103472,South,Approve,Very strongly,Approve,Female,55-64,Coll+,Black~Hisp,Democrat,NA,1.444444444,3.6,0
103474,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Republican,NA,1.518518519,3.5,0
103494,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.074074074,3.3,0
103498,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Independent,Republican,3.444444444,9.6,0
103511,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Independent,Republican,2.62962963,4,0
103514,Midwest,Approve,Very strongly,Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,2.185185185,4.7,0
103519,Midwest,Don't know/Refused (VOL.),NA,Approve,Male,55-64,HS grad or less,White~Hisp,Republican,NA,1.703703704,3.7,0
103523,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2.851851852,5.6,0
103528,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Female,65+,HS grad or less,White~Hisp,Independent,Republican,2.185185185,4.7,0
103548,West,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,White~Hisp,Republican,NA,2.037037037,9.1,0
103549,West,Approve,Very strongly,Approve,Male,65+,Some coll/Assoc degree,Other,Democrat,NA,1.592592593,3.1,0
103550,South,Disapprove,Not so strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Republican,NA,1.222222222,3.1,0
103555,West,Approve,Very strongly,Approve,Female,45-54,Coll+,White~Hisp,Democrat,NA,1.888888889,9.2,0
103563,West,Approve,Not so strongly,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,1.037037037,2.7,0
103570,West,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,2.148148148,2.8,0
103575,West,Approve,Not so strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Democrat,6.296296296,27.3,0
103577,West,Disapprove,Very strongly,Disapprove,Male,35-44,Coll+,White~Hisp,Republican,NA,2.259259259,10.7,0
103578,West,Don't know/Refused (VOL.),NA,Approve,Female,DK/Ref,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.296296296,1.2,0
103589,West,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1.074074074,2.5,0
103590,West,Approve,Very strongly,Don't know/Refused (VOL.),Male,55-64,HS grad or less,White~Hisp,Democrat,NA,3.592592593,10.2,0
103592,West,Approve,Very strongly,Approve,Female,35-44,HS grad or less,White~Hisp,Democrat,NA,6.814814815,19,0
103613,West,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,"Hisp, born in US",Independent,Republican,1.37037037,11,0
103620,West,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,Other,Independent,Republican,5.37037037,19.6,0
103623,West,Disapprove,Don't know/Refused (VOL.),Disapprove,Male,45-54,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),4.444444444,27.3,0
103625,West,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2.111111111,2.9,0
103631,West,Disapprove,Very strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Republican,NA,2.074074074,5.4,0
103632,West,Approve,Very strongly,Approve,Female,55-64,Some coll/Assoc degree,"Hisp, born outside US",Republican,NA,5,13.2,0
103634,West,Approve,Not so strongly,Approve,Male,45-54,HS grad or less,"Hisp, born outside US",Independent,Democrat,3.407407407,27.3,0
103648,West,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,1.962962963,3.9,0
103653,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.851851852,4.2,0
103668,Northeast,Approve,Very strongly,Approve,Male,45-54,Coll+,White~Hisp,Independent,Democrat,2.259259259,5.5,0
103669,Northeast,Approve,Not so strongly,Disapprove,Male,35-44,Coll+,White~Hisp,Republican,NA,3.444444444,5.4,0
103676,South,Approve,Very strongly,Approve,Male,65+,Coll+,White~Hisp,Republican,NA,1.592592593,4.8,0
103678,Midwest,Approve,Don't know/Refused (VOL.),Approve,Male,35-44,HS grad or less,"Hisp, born outside US",Democrat,NA,2.148148148,5.7,0
103684,Midwest,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),5.777777778,8,0
103688,West,Disapprove,Very strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Republican,NA,2.074074074,5.8,0
103689,Northeast,Don't know/Refused (VOL.),NA,Disapprove,Female,55-64,Coll+,White~Hisp,Independent,Democrat,2.074074074,2.8,0
103692,West,Approve,Very strongly,Approve,Female,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.333333333,3,0
103695,South,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Don't know/Refused (VOL.),Republican,4.777777778,7.2,0
103696,West,Disapprove,Very strongly,Disapprove,Female,DK/Ref,HS grad or less,White~Hisp,Republican,NA,1.518518519,2.8,0
103697,West,Disapprove,Not so strongly,Disapprove,Female,18-24,HS grad or less,"Hisp, born in US",Democrat,NA,2.851851852,27.3,0
103703,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Independent,Republican,4.666666667,7.7,0
103705,West,Disapprove,Don't know/Refused (VOL.),Approve,Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),1.703703704,4,0
103710,South,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,2.666666667,2.4,0
103717,West,Approve,Not so strongly,Approve,Female,35-44,Coll+,White~Hisp,Democrat,NA,5.111111111,27.3,0
103721,West,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Democrat,NA,3.851851852,6.2,0
103729,West,Approve,Very strongly,Approve,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Democrat,2.074074074,3,0
103733,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.518518519,2.8,0
103735,West,Approve,Very strongly,Disapprove,Female,25-34,Some coll/Assoc degree,White~Hisp,Republican,NA,5.666666667,7.9,0
103742,Northeast,Approve,Don't know/Refused (VOL.),Approve,Male,35-44,HS grad or less,"Hisp, born outside US",Independent,Republican,6.296296296,18.5,0
103748,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.814814815,2.1,0
103749,West,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2.111111111,2.9,0
103751,South,Disapprove,Very strongly,Disapprove,Female,55-64,HS grad or less,"Hisp, born outside US",Independent,Other/Don't know/Refused (VOL.),5.62962963,12.9,0
103762,West,Approve,Not so strongly,Approve,Female,45-54,HS grad or less,White~Hisp,Democrat,NA,2.888888889,7.9,0
103765,South,Approve,Very strongly,Don't know/Refused (VOL.),Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Democrat,1.962962963,8,0
103769,West,Approve,Very strongly,Approve,Female,35-44,Coll+,White~Hisp,Democrat,NA,2.703703704,2.6,0
103773,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,White~Hisp,No preference (VOL.),Other/Don't know/Refused (VOL.),1.888888889,7.6,0
103776,South,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Other/Don't know/Refused (VOL.),3.37037037,6,0
103777,South,Disapprove,Not so strongly,Disapprove,Male,25-34,HS grad or less,Other,Independent,Other/Don't know/Refused (VOL.),5.518518519,27.3,0
103782,West,Approve,Very strongly,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,1.481481481,5.4,0
103788,West,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Independent,Democrat,3.037037037,15,0
103802,Northeast,Disapprove,Very strongly,Disapprove,Male,DK/Ref,HS grad or less,White~Hisp,Republican,NA,2.851851852,5.6,0
103806,South,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Republican,NA,3.333333333,16.3,0
103807,Northeast,Approve,Not so strongly,Disapprove,Male,35-44,HS grad or less,"Hisp, born in US",Independent,Democrat,4.148148148,27.3,0
103809,South,Disapprove,Very strongly,Disapprove,Male,45-54,Some coll/Assoc degree,White~Hisp,Independent,Republican,2.814814815,9.9,0
103815,South,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,White~Hisp,Republican,NA,2.481481481,6.2,0
103836,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,2.851851852,5.6,0
103840,West,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Independent,Republican,1,1,0
103849,Northeast,Approve,Not so strongly,Approve,Female,55-64,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),6.407407407,7.7,0
103861,Northeast,Disapprove,Very strongly,Disapprove,Female,45-54,HS grad or less,White~Hisp,Independent,Republican,5.814814815,15.7,0
103871,Midwest,Approve,Very strongly,Approve,Female,25-34,Coll+,Black~Hisp,Democrat,NA,5.666666667,27.3,0
103875,Northeast,Disapprove,Very strongly,Disapprove,Female,45-54,Some coll/Assoc degree,White~Hisp,Independent,Republican,3.037037037,7,0
103880,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1.037037037,1.7,0
103882,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,No preference (VOL.),Republican,3.185185185,13.3,0
103901,South,Disapprove,Very strongly,Disapprove,Male,35-44,Coll+,White~Hisp,Republican,NA,1.444444444,6.5,0
103920,West,Disapprove,Very strongly,Disapprove,Female,65+,Coll+,White~Hisp,Republican,NA,1,1,0
103923,South,Disapprove,Very strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,2.444444444,5.2,0
103927,Midwest,Disapprove,Not so strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Democrat,NA,2.037037037,3.8,0
103929,South,Disapprove,Very strongly,Disapprove,Female,25-34,Some coll/Assoc degree,White~Hisp,Republican,NA,3.296296296,27.3,0
103937,South,Approve,Very strongly,Don't know/Refused (VOL.),Female,65+,Coll+,White~Hisp,Democrat,NA,1.222222222,2.4,0
103949,Midwest,Disapprove,Not so strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Democrat,NA,2.851851852,10.2,0
103950,Northeast,Don't know/Refused (VOL.),NA,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Democrat,NA,1.222222222,1,0
103952,South,Disapprove,Very strongly,Approve,Female,55-64,HS grad or less,White~Hisp,Independent,Other/Don't know/Refused (VOL.),6.851851852,7.6,0
103955,Midwest,Disapprove,Very strongly,Disapprove,Female,45-54,Coll+,White~Hisp,Republican,NA,2.296296296,4.7,0
103963,Northeast,Approve,Very strongly,Approve,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Democrat,2.481481481,7.9,0
103972,South,Approve,Very strongly,Approve,Female,65+,HS grad or less,White~Hisp,Democrat,NA,6.296296296,9.5,0
103983,South,Disapprove,Not so strongly,Disapprove,Male,55-64,Coll+,White~Hisp,Republican,NA,1.518518519,7.1,0
103994,South,Approve,Very strongly,Approve,Female,45-54,Coll+,White~Hisp,Independent,Democrat,2.222222222,4.7,0
103999,Northeast,Approve,Don't know/Refused (VOL.),Approve,Male,18-24,Some coll/Assoc degree,White~Hisp,Independent,Democrat,6.296296296,27.3,0
104001,Northeast,Approve,Very strongly,Approve,Female,65+,HS grad or less,White~Hisp,Independent,Democrat,2.703703704,5.3,0
104008,Northeast,Disapprove,Very strongly,Disapprove,Male,65+,HS grad or less,White~Hisp,Democrat,NA,7.037037037,7.5,0
104009,Northeast,Approve,Not so strongly,Approve,Male,55-64,Coll+,White~Hisp,Independent,Democrat,1,2.4,0
104018,West,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,Independent,Republican,2.148148148,3.2,0
104019,Midwest,Disapprove,Very strongly,Disapprove,Male,65+,Coll+,White~Hisp,Republican,NA,1.666666667,4.2,0
104020,West,Approve,Not so strongly,Approve,Female,35-44,Coll+,White~Hisp,Democrat,NA,4.777777778,10.7,0
